category,rank,supplier_id,topsis_score,unit_cost,otif_rate,defect_ppm,capacity_headroom,p_disruption_3m,allocated_units,cost_only_units
C02,20,S146,0.279,28.753,0.872,571.813,0.192,0.283,0.0,0.0
C03,1,S039,0.902,18.16,0.995,0.0,0.449,0.01,689.723,689.723
C03,2,S027,0.826,19.445,1.0,132.107,0.361,0.033,396.596,0.0
C03,3,S075,0.819,24.828,0.901,0.0,0.518,0.017,1088.105,0.0
C03,4,S111,0.756,12.806,0.97,270.968,0.254,0.062,758.146,758.146
C03,5,S051,0.724,14.921,0.926,447.972,0.316,0.056,651.847,651.847
C03,6,S207,0.72,30.397,0.997,105.572,0.361,0.035,0.0,0.0
C03,7,S015,0.693,17.388,0.937,509.959,0.319,0.062,822.783,822.783
C03,8,S063,0.684,20.27,0.943,288.128,0.312,0.113,0.0,0.0
C03,9,S159,0.674,23.57,0.999,229.001,0.395,0.129,0.0,0.0
C03,10,S087,0.632,27.33,0.933,550.421,0.279,0.052,0.0,0.0
C03,11,S171,0.629,21.866,0.951,436.126,0.346,0.127,0.0,0.0
C03,12,S135,0.619,33.287,0.982,283.99,0.347,0.095,0.0,0.0
C03,13,S099,0.598,30.775,0.94,343.67,0.249,0.103,0.0,0.0
C03,14,S231,0.554,15.812,0.874,626.109,0.225,0.154,0.0,545.02
C03,15,S123,0.51,26.086,0.881,572.981,0.228,0.159,0.0,0.0
C03,16,S147,0.458,29.152,0.871,591.81,0.236,0.185,0.0,0.0
C03,17,S219,0.274,15.697,0.799,568.982,0.122,0.383,0.0,355.473
C03,18,S183,0.262,16.352,0.875,461.14,0.239,0.438,0.0,319.407
C03,19,S195,0.248,19.123,0.903,542.776,0.28,0.408,0.0,264.801
C03,20,S003,0.152,28.196,0.877,442.543,0.181,0.405,0.0,0.0
C04,1,S052,0.869,16.849,0.978,307.912,0.361,0.034,1075.701,1075.701
C04,2,S004,0.856,16.672,0.96,174.196,0.273,0.055,418.613,418.613
C04,3,S124,0.796,16.178,0.977,373.111,0.4,0.089,896.335,896.335
C04,4,S172,0.771,22.535,0.955,473.532,0.321,0.027,494.982,0.0
C04,5,S028,0.734,20.441,0.967,559.685,0.389,0.076,190.346,0.0
C04,6,S088,0.729,23.064,0.947,371.348,0.334,0.094,0.0,0.0
C04,7,S136,0.7,13.017,0.911,675.259,0.32,0.099,321.42,321.42
C04,8,S184,0.7,27.371,0.954,299.856,0.257,0.084,0.0,0.0
C04,9,S064,0.699,12.087,0.929,336.256,0.331,0.15,0.0,393.342
C04,10,S208,0.633,16.926,0.929,507.022,0.218,0.146,0.0,291.986
C04,11,S040,0.628,22.995,0.881,565.59,0.312,0.132,0.0,0.0
C04,12,S076,0.616,28.345,1.0,80.634,0.278,0.157,0.0,0.0
C04,13,S100,0.601,21.201,0.909,390.852,0.274,0.169,0.0,0.0
C04,14,S160,0.597,29.031,0.893,345.611,0.275,0.145,0.0,0.0
C04,15,S016,0.514,20.001,0.889,433.315,0.147,0.203,0.0,0.0
C04,16,S232,0.504,28.84,0.96,468.572,0.26,0.188,0.0,0.0
C04,17,S220,0.476,19.808,0.892,660.163,0.181,0.208,0.0,0.0
C04,18,S196,0.474,24.7,0.94,685.409,0.312,0.204,0.0,0.0
C04,19,S148,0.398,21.971,0.946,545.013,0.228,0.256,0.0,0.0
C04,20,S112,0.02,32.242,0.943,820.809,0.12,0.398,0.0,0.0
C05,1,S053,0.892,16.552,0.982,262.84,0.368,0.02,369.128,369.128
C05,2,S161,0.875,21.025,0.984,86.605,0.398,0.012,1058.486,0.0
C05,3,S041,0.841,16.332,0.995,264.594,0.297,0.048,414.676,414.676
C05,4,S077,0.788,20.074,0.98,366.95,0.367,0.056,970.221,970.221
C05,5,S029,0.775,23.168,0.971,276.578,0.296,0.049,139.064,0.0
C05,6,S125,0.752,13.39,0.983,289.846,0.189,0.078,421.304,421.304
C05,7,S101,0.737,24.562,0.923,426.289,0.272,0.036,260.813,0.0
C05,8,S149,0.717,20.318,1.0,104.879,0.335,0.112,0.0,0.0
C05,9,S017,0.713,31.675,0.945,208.972,0.347,0.036,0.0,0.0
C05,10,S113,0.671,23.822,0.958,418.216,0.305,0.094,0.0,0.0
C05,11,S137,0.599,22.759,0.901,227.042,0.21,0.141,0.0,0.0
C05,12,S173,0.593,25.754,0.891,504.82,0.343,0.122,0.0,0.0
C05,13,S005,0.588,17.15,0.927,418.669,0.256,0.15,0.0,488.846
C05,14,S089,0.586,21.375,0.887,496.681,0.163,0.122,0.0,0.0
C05,15,S221,0.461,20.112,0.854,301.657,0.228,0.211,0.0,45.884
C05,16,S185,0.449,21.579,0.942,381.491,0.198,0.202,0.0,0.0
C05,17,S209,0.423,16.932,0.9,663.119,0.199,0.205,0.0,349.317
C05,18,S197,0.421,14.401,0.873,771.688,0.102,0.2,0.0,237.2
C05,19,S065,0.41,21.177,0.928,638.708,0.24,0.203,0.0,0.0
C05,20,S233,0.219,19.315,0.936,803.529,0.262,0.336,0.0,337.116
C06,1,S162,0.889,19.721,0.882,0.0,0.47,0.062,459.848,459.848
C06,2,S102,0.879,20.717,0.966,0.0,0.366,0.035,768.487,0.0
C06,3,S198,0.857,13.237,0.929,233.957,0.281,0.027,484.115,484.115
C06,4,S030,0.836,15.754,1.0,348.584,0.363,0.045,702.95,702.95
C06,5,S126,0.82,23.42,0.957,136.646,0.351,0.08,0.0,0.0
C06,6,S234,0.818,30.268,0.987,0.0,0.532,0.017,0.0,0.0
C06,7,S042,0.788,18.126,0.932,355.084,0.269,0.083,74.086,566.092
C06,8,S150,0.785,27.995,0.884,316.735,0.375,0.04,0.0,0.0
C06,9,S078,0.785,24.627,0.983,363.922,0.255,0.023,264.831,0.0
C06,10,S054,0.776,17.991,0.961,465.822,0.261,0.059,381.399,381.399
C06,11,S114,0.775,19.737,0.887,445.498,0.245,0.051,357.02,292.603
C06,12,S018,0.775,13.728,0.924,464.24,0.22,0.061,499.355,499.355
C06,13,S210,0.774,29.498,0.957,400.462,0.49,0.029,0.0,0.0
C06,14,S186,0.771,12.448,0.904,134.431,0.167,0.132,0.0,343.936
C06,15,S006,0.761,23.431,0.93,178.52,0.342,0.14,0.0,0.0
C06,16,S090,0.743,25.846,0.97,440.893,0.353,0.095,0.0,0.0
C06,17,S066,0.719,24.301,0.978,344.19,0.309,0.15,0.0,0.0
C06,18,S138,0.6,13.2,0.905,593.921,0.204,0.242,0.0,261.792
C06,19,S222,0.482,26.71,0.914,540.783,0.365,0.338,0.0,0.0
C06,20,S174,0.108,20.505,0.874,625.595,0.096,0.686,0.0,0.0
C07,1,S115,0.797,18.304,1.0,24.848,0.46,0.111,1177.493,1177.493
C07,2,S127,0.744,23.519,0.997,233.791,0.318,0.027,613.162,0.0
C07,3,S019,0.676,25.969,0.931,206.915,0.234,0.057,46.783,0.0
C07,4,S139,0.673,19.549,0.889,339.079,0.283,0.109,444.67,0.0
C07,5,S235,0.669,17.665,0.909,435.919,0.319,0.113,570.85,570.85
C07,6,S187,0.64,26.038,0.959,407.526,0.289,0.077,0.0,0.0
C07,7,S223,0.608,27.163,0.944,422.446,0.317,0.107,0.0,0.0
C07,8,S091,0.604,22.672,0.915,399.498,0.245,0.123,0.0,0.0
C07,9,S055,0.574,27.956,0.938,466.592,0.251,0.104,0.0,0.0
C07,10,S031,0.555,24.165,0.947,311.289,0.291,0.18,0.0,0.0
C07,11,S007,0.547,11.226,0.909,661.179,0.251,0.172,747.654,747.654
C07,12,S067,0.503,18.727,0.947,340.262,0.345,0.249,0.0,187.874
C07,13,S163,0.447,22.094,0.837,534.969,0.263,0.22,0.0,0.0
C07,14,S151,0.416,30.588,0.888,100.403,0.126,0.255,0.0,0.0
C07,15,S103,0.372,17.346,0.867,776.449,0.296,0.278,0.0,853.082
C07,16,S199,0.354,24.678,0.846,599.476,0.129,0.232,0.0,0.0
C07,17,S211,0.307,21.176,0.835,723.651,0.229,0.289,0.0,0.0
C07,18,S043,0.297,20.54,0.929,410.366,0.164,0.341,0.0,0.0
C07,19,S175,0.276,28.575,0.932,490.043,0.153,0.292,0.0,0.0
C07,20,S079,0.269,16.853,0.92,439.182,0.065,0.395,0.0,63.659
C08,1,S008,0.933,12.613,0.955,0.0,0.306,0.034,516.32,516.32
C08,2,S200,0.912,17.275,0.977,27.898,0.329,0.053,583.748,583.748
C08,3,S176,0.847,21.701,0.963,36.703,0.408,0.098,0.0,0.0
C08,4,S236,0.841,21.602,1.0,239.55,0.354,0.059,708.057,0.0
C08,5,S212,0.798,17.496,0.965,369.369,0.265,0.095,651.833,651.833
C08,6,S116,0.797,26.327,0.958,238.66,0.379,0.067,0.0,0.0
C08,7,S224,0.789,18.499,0.95,371.282,0.292,0.109,269.904,269.904
C08,8,S080,0.779,24.325,0.938,430.689,0.394,0.064,316.961,0.0
C08,9,S140,0.776,18.022,0.954,497.372,0.3,0.088,447.667,447.667
C08,10,S092,0.759,27.233,0.945,353.406,0.292,0.07,0.0,0.0
C08,11,S104,0.757,20.141,0.939,444.42,0.317,0.122,0.0,35.464
C08,12,S032,0.705,24.651,0.863,419.612,0.271,0.15,0.0,0.0
C08,13,S188,0.675,17.532,0.871,490.21,0.22,0.19,0.0,562.389
C08,14,S044,0.661,25.764,0.916,575.353,0.24,0.158,0.0,0.0
C08,15,S068,0.643,31.631,0.95,734.534,0.206,0.099,0.0,0.0
C08,16,S056,0.593,23.7,0.939,595.496,0.119,0.214,0.0,0.0
C08,17,S020,0.571,15.571,0.929,335.36,0.145,0.295,0.0,252.643
C08,18,S128,0.535,22.648,0.931,606.194,0.187,0.28,0.0,0.0
C08,19,S164,0.384,16.38,0.881,699.689,0.089,0.41,0.0,174.521
C08,20,S152,0.08,26.666,0.832,626.422,0.068,0.649,0.0,0.0
C09,1,S153,0.885,15.873,0.995,41.601,0.388,0.096,1023.054,1023.054
C09,2,S081,0.838,16.602,0.953,314.119,0.342,0.053,935.849,347.611
C09,3,S165,0.795,15.785,0.897,71.001,0.314,0.142,0.0,683.499
C09,4,S213,0.784,19.321,0.931,284.311,0.265,0.084,379.794,0.0
C09,5,S129,0.778,22.241,0.974,206.291,0.272,0.086,0.0,0.0
C09,6,S021,0.778,20.607,0.938,385.755,0.461,0.107,0.0,0.0
C09,7,S201,0.752,18.21,0.896,466.104,0.318,0.098,213.393,0.0
C09,8,S141,0.741,11.926,0.922,347.685,0.19,0.12,242.808,242.808
C09,9,S057,0.692,20.167,0.908,636.915,0.274,0.092,0.0,0.0
C09,10,S237,0.684,36.531,0.935,216.534,0.319,0.048,0.0,0.0
C09,11,S009,0.66,18.724,0.91,534.827,0.167,0.135,0.0,0.0
C09,12,S093,0.651,25.276,0.933,299.906,0.117,0.133,0.0,0.0
C09,13,S189,0.645,28.583,0.921,520.539,0.178,0.095,0.0,0.0
C09,14,S033,0.636,38.51,0.926,231.918,0.158,0.055,0.0,0.0
C09,15,S045,0.625,17.268,0.854,508.733,0.192,0.186,0.0,0.0
C09,16,S105,0.542,28.76,0.892,335.135,0.265,0.238,0.0,0.0
C09,17,S069,0.538,16.114,0.926,543.567,0.263,0.27,0.0,497.925
C09,18,S117,0.429,17.54,0.841,574.717,0.157,0.331,0.0,0.0
C09,19,S177,0.427,23.478,0.891,473.194,0.178,0.317,0.0,0.0
C09,20,S225,0.246,19.039,0.918,746.529,0.155,0.514,0.0,0.0
C10,1,S226,0.795,23.714,0.997,124.745,0.421,0.018,563.111,0.0
C10,2,S082,0.722,26.382,0.948,0.0,0.408,0.076,0.0,0.0
C10,3,S166,0.684,27.566,0.951,276.019,0.344,0.041,918.939,0.0
C10,4,S178,0.663,16.308,0.942,109.816,0.18,0.113,322.191,322.191
C10,5,S022,0.602,18.903,0.986,327.149,0.265,0.118,252.953,360.023
C10,6,S154,0.6,21.122,0.943,413.612,0.165,0.079,389.676,0.0
C10,7,S094,0.597,29.383,0.953,188.619,0.24,0.097,0.0,0.0
C10,8,S238,0.592,15.42,0.913,390.78,0.257,0.12,319.439,319.439
C10,9,S010,0.578,29.591,0.883,347.786,0.323,0.091,0.0,0.0
C10,10,S046,0.578,12.672,0.893,292.423,0.222,0.146,205.714,205.714
C10,11,S214,0.569,28.17,0.977,330.24,0.206,0.092,0.0,0.0
C10,12,S142,0.569,22.137,0.977,563.793,0.263,0.078,650.197,0.0
C10,13,S190,0.559,19.649,0.927,312.878,0.237,0.135,0.0,653.296
C10,14,S118,0.555,26.764,0.929,163.857,0.312,0.144,0.0,0.0
C10,15,S070,0.542,21.208,0.966,423.074,0.332,0.131,0.0,0.0
C10,16,S106,0.442,23.076,0.95,323.671,0.404,0.198,0.0,0.0
C10,17,S202,0.356,12.626,0.868,465.701,0.201,0.243,0.0,371.518
C10,18,S130,0.254,18.539,0.87,411.977,0.207,0.302,0.0,405.492
C10,19,S034,0.251,18.283,0.919,568.228,0.31,0.28,0.0,730.773
C10,20,S058,0.227,17.899,0.916,687.572,0.2,0.265,0.0,253.772
C11,1,S011,0.844,18.013,0.957,172.297,0.415,0.085,839.423,586.596
C11,2,S155,0.821,22.418,0.96,224.774,0.391,0.038,377.568,0.0
C11,3,S191,0.808,21.14,0.896,222.341,0.339,0.055,395.172,0.0
C11,4,S143,0.785,18.265,0.955,295.128,0.247,0.055,574.666,0.0
C11,5,S131,0.76,24.456,0.925,442.73,0.364,0.047,399.071,0.0
C11,6,S035,0.71,17.912,0.882,338.94,0.249,0.126,0.0,362.605
C11,7,S071,0.701,19.906,0.953,375.129,0.244,0.12,0.0,0.0
C11,8,S023,0.682,15.808,0.925,621.298,0.196,0.105,475.503,475.503
C11,9,S047,0.679,12.439,0.907,564.548,0.378,0.164,95.201,743.737
C11,10,S239,0.669,12.498,0.93,491.399,0.237,0.153,621.708,621.708
C11,11,S179,0.662,34.455,0.952,448.576,0.304,0.042,0.0,0.0
C11,12,S167,0.634,28.306,0.933,245.238,0.233,0.13,0.0,0.0
C11,13,S059,0.627,18.024,0.949,546.455,0.233,0.16,0.0,0.0
C11,14,S119,0.623,23.001,0.913,442.524,0.267,0.159,0.0,0.0
C11,15,S215,0.606,28.978,0.959,448.912,0.526,0.177,0.0,0.0
C11,16,S107,0.587,13.094,0.892,672.357,0.152,0.176,0.0,347.874
C11,17,S083,0.475,34.906,0.922,380.394,0.345,0.221,0.0,0.0
C11,18,S095,0.466,21.97,0.877,624.896,0.336,0.257,0.0,0.0
C11,19,S203,0.371,16.95,0.912,627.988,0.278,0.337,0.0,564.918
C11,20,S227,0.244,17.352,0.819,688.491,0.059,0.435,0.0,75.372
