date,year,month,period_type,product_code,product_name,criticality,fab_code,fab_name,demand_units,forecast_units,capacity_units,supply_units,demand_fulfilled_units,shortage_units,inventory_begin_units,inventory_end_units
2024-05-01,2024,5,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,209241,221432,217894,219198,209241,0,224812,234770
2024-05-01,2024,5,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,181433,184527,167288,165253,181433,0,153846,137666
2024-05-01,2024,5,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,141024,143872,141684,143153,141024,0,149393,151522
2024-05-01,2024,5,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,95548,95914,92873,90118,95548,0,86472,81041
2024-05-01,2024,5,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,80661,79929,71303,71238,80661,0,63485,54062
2024-05-01,2024,5,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,171915,179384,185279,183139,171915,0,237013,248237
2024-05-01,2024,5,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,114411,119589,121449,123914,114411,0,145705,155209
2024-05-01,2024,5,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,93237,99658,93242,93953,93237,0,86836,87551
2024-05-01,2024,5,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,90537,104684,98089,99453,90537,0,131854,140770
2024-05-01,2024,5,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,62309,69789,64296,64168,62309,0,81829,83688
2024-05-01,2024,5,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,54231,58158,49364,49355,54231,0,55651,50776
2024-06-01,2024,6,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,234625,211271,231850,207907,234625,0,306929,280211
2024-06-01,2024,6,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,153182,140847,153026,138757,153182,0,170907,156481
2024-06-01,2024,6,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,128709,117373,116449,105886,128709,0,103935,81112
2024-06-01,2024,6,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,298427,355607,336734,315585,298427,0,412855,430012
2024-06-01,2024,6,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,195597,237071,222251,202454,195597,0,234770,241626
2024-06-01,2024,6,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,176878,197559,169128,150502,176878,0,137666,111290
2024-06-01,2024,6,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,133762,136007,143526,131783,133762,0,151522,149543
2024-06-01,2024,6,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,90620,90671,94730,85349,90620,0,81041,75770
2024-06-01,2024,6,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,71257,75559,72087,64716,71257,0,54062,47521
2024-06-01,2024,6,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,173610,177197,187688,169855,173610,0,248237,244482
2024-06-01,2024,6,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,123823,118131,123878,116958,123823,0,155209,148344
2024-06-01,2024,6,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,101506,98443,94268,85899,101506,0,87551,71944
2024-06-01,2024,6,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,89539,89572,99364,90892,89539,0,140770,142123
2024-06-01,2024,6,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,60329,59715,65582,58825,60329,0,83688,82184
2024-06-01,2024,6,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,48552,49762,49907,44493,48552,0,50776,46717
2024-07-01,2024,7,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,191174,215623,234864,200014,191174,0,280211,289052
2024-07-01,2024,7,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,134831,143749,156086,137891,134831,0,156481,159541
2024-07-01,2024,7,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,111516,119791,117730,102955,111516,0,81112,72551
2024-07-01,2024,7,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,305844,302714,341112,301379,305844,0,430012,425548
2024-07-01,2024,7,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,210793,201809,226696,196249,210793,0,241626,227082
2024-07-01,2024,7,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,183708,168174,170988,146499,183708,0,111290,74080
2024-07-01,2024,7,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,138756,138510,145392,130423,138756,0,149543,141210
2024-07-01,2024,7,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,95716,92340,96625,80521,95716,0,75770,60575
2024-07-01,2024,7,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,76811,76950,72880,63018,76811,0,47521,33728
2024-07-01,2024,7,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,163942,155840,190128,156788,163942,0,244482,237328
2024-07-01,2024,7,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,114295,103893,126355,108105,114295,0,148344,142153
2024-07-01,2024,7,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,96040,86578,95305,80450,96040,0,71944,56354
2024-07-01,2024,7,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,87291,81437,100656,86934,87291,0,142123,141767
2024-07-01,2024,7,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,58961,54292,66894,58257,58961,0,82184,81480
2024-07-01,2024,7,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,47994,45243,50456,44424,47994,0,46717,43147
2024-08-01,2024,8,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,195454,191900,237917,193889,195454,0,289052,287487
2024-08-01,2024,8,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,125970,127934,159208,131692,125970,0,159541,165262
2024-08-01,2024,8,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,110276,106611,119025,97435,110276,0,72551,59709
2024-08-01,2024,8,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,303028,306061,345546,285152,303028,0,425548,407672
2024-08-01,2024,8,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,193329,204041,231230,188415,193329,0,227082,222167
2024-08-01,2024,8,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,162533,170034,172869,138940,162533,0,74080,50488
2024-08-01,2024,8,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,134979,131150,147282,123739,134979,0,141210,129970
2024-08-01,2024,8,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,88579,87433,98557,80110,88579,0,60575,52106
2024-08-01,2024,8,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,73289,72861,73682,59373,73289,0,33728,19811
2024-08-01,2024,8,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,157711,161753,192600,165166,157711,0,237328,244783
2024-08-01,2024,8,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,107989,107835,128883,102231,107989,0,142153,136395
2024-08-01,2024,8,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,89965,89863,96353,78804,89965,0,56354,45194
2024-08-01,2024,8,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,86921,88251,101964,80650,86921,0,141767,135496
2024-08-01,2024,8,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,56166,58834,68232,57133,56166,0,81480,82447
2024-08-01,2024,8,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,49162,49029,51011,43664,49162,0,43147,37649
2024-09-01,2024,9,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,202785,168549,241010,191118,202785,0,287487,275819
2024-09-01,2024,9,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,137438,112366,162392,134585,137438,0,165262,162409
2024-09-01,2024,9,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,108419,93638,120334,103215,108419,0,59709,54505
2024-09-01,2024,9,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,294284,259064,350038,284417,294284,0,407672,397805
2024-09-01,2024,9,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,195479,172709,235855,192674,195479,0,222167,219363
2024-09-01,2024,9,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,167002,143924,174771,140012,167002,0,50488,23497
2024-09-01,2024,9,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,124171,136199,149197,123544,124171,0,129970,129343
2024-09-01,2024,9,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,84513,90799,100528,81751,84513,0,52106,49345
2024-09-01,2024,9,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,71053,75666,74492,61545,71053,0,19811,10303
2024-09-01,2024,9,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,147022,162861,195103,160342,147022,0,244783,258104
2024-09-01,2024,9,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,95258,108574,131460,106700,95258,0,136395,147837
2024-09-01,2024,9,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,82385,90478,97413,80090,82385,0,45194,42899
2024-09-01,2024,9,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,84138,81044,103290,84974,84138,0,135496,136332
2024-09-01,2024,9,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,56255,54029,69597,57178,56255,0,82447,83369
2024-09-01,2024,9,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,46940,45024,51572,43097,46940,0,37649,33806
2024-10-01,2024,10,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,176219,172580,244143,206211,176219,0,275819,305811
2024-10-01,2024,10,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,117373,115053,165640,144467,117373,0,162409,189504
2024-10-01,2024,10,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,99682,95878,121658,107576,99682,0,54505,62399
2024-10-01,2024,10,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,289100,276629,354589,301681,289100,0,397805,410386
2024-10-01,2024,10,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,198591,184420,240572,200110,198591,0,219363,220882
2024-10-01,2024,10,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,164912,153683,176693,152354,164912,0,23497,10939
2024-10-01,2024,10,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,117191,116295,151136,134204,117191,0,129343,146357
2024-10-01,2024,10,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,79078,77530,102539,86451,79078,0,49345,56718
2024-10-01,2024,10,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,65616,64608,75312,65800,65616,0,10303,10487
2024-10-01,2024,10,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,141995,146849,197640,171982,141995,0,258104,288090
2024-10-01,2024,10,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,95917,97899,134089,113693,95917,0,147837,165613
2024-10-01,2024,10,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,79516,81583,98485,83095,79516,0,42899,46478
2024-10-01,2024,10,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,78862,83383,104633,89709,78862,0,136332,147179
2024-10-01,2024,10,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,50491,55589,70988,61544,50491,0,83369,94423
2024-10-01,2024,10,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,42560,46324,52139,43874,42560,0,33806,35121
2024-11-01,2024,11,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,166897,180534,247317,225592,166897,0,305811,364506
2024-11-01,2024,11,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,116598,120356,168953,151219,116598,0,189504,224124
2024-11-01,2024,11,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,98836,100297,122996,112750,98836,0,62399,76313
2024-11-01,2024,11,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,272773,265657,359199,315435,272773,0,410386,453048
2024-11-01,2024,11,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,178162,177105,245384,219420,178162,0,220882,262140
2024-11-01,2024,11,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,149671,147587,178637,162461,149671,0,10939,23728
2024-11-01,2024,11,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,121378,127519,153101,137778,121378,0,146357,162757
2024-11-01,2024,11,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,78601,85013,104590,96086,78601,0,56718,74204
2024-11-01,2024,11,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,67835,70844,76140,70955,67835,0,10487,13607
2024-11-01,2024,11,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,137661,141712,200209,180996,137661,0,288090,331425
2024-11-01,2024,11,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,91901,94475,136771,119616,91901,0,165613,193328
2024-11-01,2024,11,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,77832,78729,99568,91349,77832,0,46478,59996
2024-11-01,2024,11,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,80529,86730,105993,95920,80529,0,147179,162571
2024-11-01,2024,11,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,54041,57820,72408,68122,54041,0,94423,108503
2024-11-01,2024,11,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,43467,48184,52712,48201,43467,0,35121,39856
2024-12-01,2024,12,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,166441,159261,250532,243609,166441,0,364506,441673
2024-12-01,2024,12,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,118107,106174,172332,169339,118107,0,224124,275356
2024-12-01,2024,12,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,95924,88479,124349,121455,95924,0,76313,101844
2024-12-01,2024,12,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,297219,267903,363868,356641,297219,0,453048,512470
2024-12-01,2024,12,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,190105,178602,250291,250906,190105,0,262140,322940
2024-12-01,2024,12,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,160962,148835,180602,185748,160962,0,23728,48514
